#{"t_start": 1641332267.081127, "env_id": null}
r,l,t
-663.720069,44,1649.747573
-657.476436,41,1649.789451
-653.509597,43,1649.830961
-628.25433,34,1649.871016
-662.713749,44,1674.592499
-532.771346,59,1674.654109
-540.730682,61,1674.715662
-601.199637,57,1674.771998
-597.99746,61,1674.832626
-591.965872,44,1674.879522
-584.630257,44,1674.927261
-551.350662,69,1674.99328
-625.711062,47,1675.04196
-428.708778,64,1675.102812
-604.635119,53,1675.154944
-501.095564,61,1675.214499
-642.831936,44,1675.261835
-622.149846,64,1675.322772
-590.641687,59,1675.380671
-578.400681,56,1675.436314
-659.844792,45,1675.48537
-615.504042,45,1675.531206
-695.944968,78,1700.221158
-720.25814,71,1700.293081
-772.055329,91,1700.381383
-698.1156,54,1700.436864
-641.156505,84,1700.516298
-494.490446,75,1700.589298
-789.7431,76,1700.662539
-720.685846,66,1700.726993
-696.219368,84,1700.806287
-715.198573,100,1700.898903
-450.086031,74,1700.975341
-637.881909,37,1701.013405
-639.745432,37,1701.048947
-774.702491,69,1701.120607
-761.532322,61,1725.974615
-668.870133,50,1726.024809
-657.039658,43,1726.081132
-626.845218,50,1726.133554
-653.453318,44,1726.181285
-665.870765,42,1726.225676
-654.800956,47,1726.274857
-605.913045,52,1726.326303
-655.310064,40,1726.370177
-662.99668,49,1726.419941
-648.775136,42,1726.464943
-648.372443,41,1726.510379
-662.404415,45,1726.56102
-630.353497,47,1726.609451
-651.171355,47,1726.657053
-679.785305,50,1726.707395
-653.428126,44,1726.755581
-635.569009,47,1726.805079
-660.538009,44,1726.850208
-657.276383,41,1726.894509
-652.272259,41,1726.943865
-658.643978,44,1726.995055
-712.771037,54,1753.09367
-635.556706,47,1753.146578
-661.632527,51,1753.202446
-606.676302,48,1753.251151
-548.297203,51,1753.30382
-565.430449,49,1753.353251
-520.54347,52,1753.408476
-604.980763,49,1753.459782
-520.806045,50,1753.509921
-429.816577,54,1753.564519
-632.686335,52,1753.617011
-631.518672,48,1753.66526
-537.019024,55,1753.72095
-635.406544,46,1753.76829
-416.919122,56,1753.82609
-529.664383,53,1753.883137
-371.426035,56,1753.943164
-619.727204,48,1753.9925
-538.356403,51,1754.046139
-606.873117,48,1754.095838
-490.340217,52,1782.278797
-579.937603,51,1782.337202
-441.680379,57,1782.395192
-495.303905,55,1782.452272
-439.838604,54,1782.50645
-714.299615,56,1782.562148
-467.338296,52,1782.616164
-470.245235,55,1782.670577
-676.450887,54,1782.723903
-652.730445,53,1782.77727
-683.679637,51,1782.835511
-506.505528,51,1782.887329
-522.199568,49,1782.941368
-543.422317,55,1782.996499
-555.264873,55,1783.053318
-685.427911,51,1783.104501
-551.038654,50,1783.161799
-470.003168,52,1783.294314
-610.500578,55,1809.391303
-615.218412,33,1809.430215
-612.099993,34,1809.466378
-608.909291,33,1809.504371
-621.666698,38,1809.545382
-612.601947,31,1809.579055
-604.510523,31,1809.610031
-607.814613,32,1809.650408
-610.915106,33,1809.687363
-612.481237,34,1809.722997
-599.114662,40,1809.763669
-610.256517,33,1809.800285
-617.727111,35,1809.838209
-619.861761,35,1809.875539
-602.639698,34,1809.913078
-607.885595,34,1809.954094
-611.043405,32,1809.990043
-605.803468,31,1810.024678
-586.577912,38,1810.065293
-611.368808,36,1810.10201
-609.152716,32,1810.138019
-613.592243,35,1810.176538
-611.126536,32,1810.211199
-613.982779,34,1810.24522
-608.216677,31,1810.291874
-586.986881,38,1810.33197
-605.331071,32,1810.367309
-597.249693,35,1810.41346
-607.74671,33,1810.461969
-606.350659,33,1810.506025
-622.480489,39,1835.552452
-588.71639,36,1835.594011
-595.336004,46,1835.647486
-639.424735,50,1835.69671
-595.091922,39,1835.737855
-589.947243,38,1835.780715
-588.688146,37,1835.822711
-503.201502,53,1835.881093
-628.315995,37,1835.927321
-604.540222,44,1835.978187
-596.366451,45,1836.026622
-555.055593,50,1836.078603
-627.374023,35,1836.112737
-540.949935,51,1836.169577
-607.876477,38,1836.211465
-628.221711,47,1836.262705
-622.090813,39,1836.304637
-586.85421,38,1836.349846
-577.260785,38,1836.390057
-631.081678,36,1836.446725
-602.761113,36,1836.490764
-606.437422,34,1836.53451
-613.118971,36,1836.583014
-629.585834,37,1836.632614
-665.311698,85,1868.211657
-402.598987,47,1868.256571
-641.05421,39,1868.30143
-649.370468,40,1868.337059
-466.687554,46,1868.380404
-645.92081,41,1868.415894
-642.187009,41,1868.467208
-621.105401,42,1868.591641
-468.321265,45,1868.637444
-635.98957,41,1868.673493
-433.135927,47,1868.715635
-561.350606,42,1868.752518
-580.890371,45,1868.802035
-586.757576,44,1868.842722
-640.289529,41,1868.894605
-529.774121,44,1868.939455
-587.118069,43,1868.981843
-465.278688,45,1869.031414
-536.972547,45,1869.082011
-653.673341,43,1869.121334
-648.327187,38,1869.154994
-466.655383,46,1869.195625
-554.515832,43,1869.251432
-616.358362,43,1898.081064
-609.531404,33,1898.109658
-607.564516,33,1898.139006
-600.81537,42,1898.211222
-616.931617,39,1898.268313
-612.774545,34,1898.310044
-607.464428,34,1898.342532
-619.326456,35,1898.401587
-590.020833,40,1898.443667
-608.931827,33,1898.478544
-616.039653,37,1898.521287
-612.572109,35,1898.556466
-613.941996,35,1898.591743
-613.948188,39,1898.637454
-616.599419,39,1898.68023
-618.625708,37,1898.722176
-616.581405,38,1898.757704
-628.631882,44,1898.819172
-611.094642,33,1898.868892
-607.990277,35,1898.90622
-607.63227,34,1898.951576
-613.523207,37,1898.989513
-612.650345,32,1899.020879
-616.687768,38,1899.066843
-611.894983,35,1899.136888
-620.830746,38,1899.264898
-614.540154,37,1899.331465
